total_facilities,new_facility,lat,lon,total_population_access_pct
1259,8589946231_potential,-12.19,26.46,80.9
1260,25769811940_potential,-10.24,31.26,81.74
1261,25769819017_potential,-8.86,31.23,82.26
1262,5535_potential,-16.21,26.97,82.74
1263,2307_potential,-17.29,27.33,83.16
1264,8589943965_potential,-13.48,24.33,83.54
1265,5404_potential,-16.33,26.61,83.91
1266,7425_potential,-16,27.48,84.23
1267,17179876269_potential,-14.68,27.48,84.54
1268,6527_potential,-16.09,28.14,84.84
1269,2689_potential,-17.38,26.67,85.14
1270,8589947312_potential,-11.8,24.45,85.43
1271,3847_potential,-16.69,26.52,85.7
1272,25769810578_potential,-10.39,29.97,85.96
1273,25769812951_potential,-10.06,30.93,86.21
1274,6067_potential,-15.91,26.79,86.46
1275,3343_potential,-17.2,26.94,86.69
1276,25769807825_potential,-10.9,30.24,86.93
1277,8589936687_potential,-13.15,22.71,87.17
1278,9917_potential,-16.81,26.16,87.4
1279,4957_potential,-16.69,27.87,87.64
1280,8589944227_potential,-13.18,24.87,87.85
1281,8589947639_potential,-12.22,25.47,88.06
1282,25769811934_potential,-9.97,31.62,88.26
1283,7071_potential,-15.67,28.65,88.46
1284,5049_potential,-16.45,28.59,88.66
1285,8589943767_potential,-12.46,26.37,88.85
1286,4342_potential,-16.99,27.54,89.04
1287,8958_potential,-17.35,24.3,89.23
1288,25769820250_potential,-8.98,30.9,89.41
